datetime,open,high,low,close,volume,oi,symbol
2024-02-23,69260.0,69550.0,69100.0,69370.0,54330,159131,CU
2024-02-26,69060.0,69360.0,69010.0,69050.0,54816,156548,CU
2024-02-27,68800.0,69030.0,68690.0,69000.0,50115,152272,CU
2024-02-28,69070.0,69070.0,68740.0,68760.0,43547,151532,CU
2024-02-29,68630.0,69010.0,68580.0,68990.0,50810,150856,CU
2024-03-01,68870.0,69140.0,68860.0,68920.0,36561,146972,CU
2024-03-04,68760.0,69240.0,68750.0,69170.0,48141,150556,CU
2024-03-05,69300.0,69350.0,69010.0,69050.0,37013,148094,CU
2024-03-06,69090.0,69200.0,68930.0,69080.0,30779,148420,CU
2024-03-07,69200.0,69580.0,69110.0,69500.0,54273,154276,CU
2024-03-08,69930.0,70230.0,69690.0,69990.0,85499,152099,CU
2024-03-11,69580.0,69960.0,69310.0,69490.0,63684,147835,CU
2024-03-12,69560.0,69920.0,69560.0,69900.0,50348,160203,CU
2024-03-13,69960.0,70460.0,69580.0,70420.0,108688,182645,CU
2024-03-14,71200.0,72470.0,71080.0,71570.0,208137,214126,CU
2024-03-15,71600.0,73270.0,71550.0,73130.0,180312,230419,CU
2024-03-18,72930.0,73440.0,72700.0,72830.0,168439,231671,CU
2024-03-19,73130.0,73900.0,72510.0,72920.0,197326,225160,CU
2024-03-20,72420.0,72890.0,72350.0,72620.0,101659,218643,CU
2024-03-21,72230.0,73530.0,72080.0,73240.0,127570,221852,CU
2024-03-22,72920.0,73060.0,72130.0,72290.0,117366,205497,CU
2024-03-25,72180.0,72690.0,72150.0,72300.0,88788,200899,CU
2024-03-26,72180.0,72570.0,71720.0,72000.0,101264,190762,CU
2024-03-27,72250.0,72300.0,71860.0,72090.0,68992,189240,CU
2024-03-28,71840.0,72660.0,71640.0,72500.0,101206,187803,CU
2024-03-29,72310.0,72620.0,72060.0,72530.0,83310,178865,CU
2024-04-01,72600.0,73190.0,72500.0,73100.0,75189,176465,CU
2024-04-02,72880.0,73370.0,72840.0,73230.0,65008,177128,CU
2024-04-03,73500.0,74050.0,73230.0,73980.0,85725,175202,CU
2024-04-08,75210.0,76170.0,74370.0,75540.0,102129,173534,CU
2024-04-09,76100.0,76850.0,75850.0,76130.0,139653,195142,CU
2024-04-10,76720.0,77040.0,76060.0,76800.0,142517,204867,CU
2024-04-11,76500.0,76650.0,75700.0,76270.0,164346,201063,CU
2024-04-12,76280.0,76920.0,75830.0,76910.0,130576,202356,CU
2024-04-15,77410.0,77940.0,76220.0,76970.0,209089,202182,CU
2024-04-16,77290.0,77570.0,76520.0,76730.0,164855,201471,CU
2024-04-17,76460.0,77010.0,76300.0,76920.0,103594,197905,CU
2024-04-18,77290.0,78920.0,76840.0,78780.0,180560,211713,CU
2024-04-19,78900.0,79840.0,78200.0,79370.0,219644,212612,CU
2024-04-22,79700.0,81050.0,79430.0,79550.0,237282,209179,CU
2024-04-23,79710.0,79730.0,77830.0,78020.0,213088,198082,CU
2024-04-24,77930.0,79500.0,77650.0,79380.0,170770,200132,CU
2024-04-25,79250.0,80200.0,78830.0,80160.0,163701,200833,CU
2024-04-26,80660.0,81180.0,79810.0,81100.0,189872,199924,CU
2024-04-29,80810.0,81110.0,80080.0,80940.0,165940,198020,CU
2024-04-30,81130.0,82460.0,81100.0,82180.0,169346,198340,CU
2024-05-06,80220.0,81340.0,80140.0,81300.0,72291,189547,CU
2024-05-07,81300.0,81680.0,80490.0,80500.0,110143,187279,CU
2024-05-08,80520.0,80890.0,79410.0,79540.0,116488,181336,CU
2024-05-09,79470.0,80040.0,79420.0,79630.0,84973,179763,CU
2024-05-10,79760.0,81040.0,79600.0,80970.0,105672,181386,CU
2024-05-13,80640.0,81310.0,80210.0,81150.0,115798,180741,CU
2024-05-14,81540.0,82440.0,81350.0,82280.0,105531,176263,CU
2024-05-15,82090.0,82290.0,80950.0,81780.0,116250,171021,CU
2024-05-16,82370.0,83000.0,81260.0,82600.0,174265,210670,CU
2024-05-17,82720.0,84500.0,82410.0,84250.0,156518,228150,CU
2024-05-20,84530.0,88940.0,84420.0,87670.0,308590,231426,CU
2024-05-21,86670.0,88630.0,85860.0,87090.0,260075,223321,CU
2024-05-22,87680.0,87960.0,85610.0,86220.0,216945,221296,CU
2024-05-23,84500.0,85140.0,82760.0,83080.0,262268,213521,CU
2024-05-24,83610.0,84400.0,83200.0,84050.0,180540,211017,CU
